Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source
CrEX-3	Regional	35.85967	-106.25495	6734.601	Tpf	NULL	1004.5	8 in	909.6	948.8	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW, Ground Elevation updated from MW, Geologic Unit Code updated from MW, Total Well Depth [ft] updated from MW, Well Diameter [in] updated from MW, Screen Top [ft] updated from MW, Screen Bottom [ft] updated from MW	Well Info	
CrIN-1	NULL	35.85997	-106.2511	6705	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrIN-2	NULL	35.85865	-106.25197	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrIN-3	NULL	35.85679	-106.25178	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrIN-4	NULL	35.8565	-106.25522	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrIN-5	NULL	35.85648	-106.25585	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-2 S1	NULL	35.86028	-106.25606	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-2 S2	NULL	35.86028	-106.25606	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-3	NULL	35.86122	-106.26005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-4	NULL	35.86115	-106.26329	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-5	NULL	35.86036	-106.26489	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
DP Spring	NULL	35.87469	-106.2633	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
DP-0.0 Spring	NULL	35.87284	-106.25946	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21601	NULL	35.87786	-106.27353	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21604	NULL	35.8779	-106.27347	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21614	NULL	35.87793	-106.27326	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21617	NULL	35.87778	-106.27317	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21618	NULL	35.87783	-106.27313	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21627	NULL	35.87779	-106.27295	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21638	NULL	35.87768	-106.27257	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21641	NULL	35.87771	-106.27232	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21644	NULL	35.87779	-106.272	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DP-03-21650	NULL	35.87758	-106.27166	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Coordinate source LA-UR-04-2836, Report on Alluvial Well and Piezometer Completions in DP Canyon--Reach DP-2, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DPS-1	NULL	35.87801	-106.27398	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
DPS-4	NULL	35.87369	-106.25983	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
ER ID #03-2664	NULL	35.87374	-106.33013	7457.700	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Pajarito	NULL	2012-03-15 10:48:00	[84]		Well Info	
ER ID #18-01685	NULL	35.83237	-106.25166	6654.700	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-54	Pajarito	NULL	2012-03-15 10:48:00	[84]		Well Info	
Fire Station 1	NULL	35.87643	-106.32097	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Locations estimated in April 2010 by georeferencing locations on old ESR maps., NULL	NULL	General	Sandia	NULL	2012-03-15 10:48:00	[84]		Well Info	
Fire Station 2	NULL	35.88078	-106.28702	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Locations estimated in April 2010 by georeferencing locations on old ESR maps., NULL	NULL	General	Los Alamos	NULL	2012-03-15 10:48:00	[84]		Well Info	
Fire Station 3	NULL	35.82715	-106.20556	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Locations estimated in April 2010 by georeferencing locations on old ESR maps., NULL	NULL	General	Mortendad	NULL	2012-03-15 10:48:00	[84]		Well Info	
G-5	NULL	35.82842	-106.23684	6306.000	NULL	1951-05-01 00:00:00	1850.00	NULL	NULL	NULL	Plugged and Abandoned in 1999, Plugged and abandoned 1999	NULL	TA-54	Pajarito	PA	2012-03-15 10:48:00	[84]		Well Info	
Hamilton Bend Spring	NULL	35.88172	-106.24248	6495.100	NULL	NULL	NULL	NULL	NULL	NULL	updated location type from spring since we no longer collect water, only sed, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
Hanlon Spring	NULL	35.86911	-106.33431	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Pajarito	NULL	NULL	[84]		Well Info	
LA-00115	NULL	35.86713	-106.22501	6386.180	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN., NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
LA-10008	NULL	35.87389	-106.27624	0.000	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN., NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
LA-10035	NULL	35.87317	-106.25822	6579.000	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates., NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates., Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates.	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
LA-10066	NULL	35.87635	-106.29457	6900.000	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates., NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates., Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates.	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
LA-10068	NULL	35.87216	-106.24887	6519.000	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN., NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN., Survey date and accuracy for coordinates and elevation are UNKNOWN.	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
LA-10135	NULL	35.867	-106.21926	6304.900	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Los Alamos	NULL	NULL	[84]		Well Info	
LA-5.19 Spring	NULL	35.86981	-106.23799	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	
LADP-3	Intermediate	35.87418	-106.27507	6754.19	Qbog	1993-12-17 00:00:00	326.00	2	316	325.000	NULL, NULL, Brass Cap, Brass Cap, 21-1682 (second label). Drill hole OU-1106(TA-21): geo/hydro investigative	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAO-0.3	Alluvial	35.87704	-106.30272	NULL	NULL	1994-05-27 00:00:00	11.25	NULL	5.9	10.900	NULL, NULL	NULL	General	Los Alamos	A	NULL	[84]		Well Info	
LAO-0.6	Alluvial	35.87655	-106.29614	6910.74	Qal	1994-05-06 00:00:00	13.35	4 in	8	13.000	NULL, NULL, RJK revised added elev 5/25/05, RJK revised added elev 5/25/05	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-0.7	Alluvial	35.87635	-106.29457	6904	NULL	1993-06-16 00:00:00	23	2 in	15	20.000	NULL, NULL, RJK added elev 8/3/05, 2 inch PVC casing, 12 inch diameter steel riser 1 ft. 10.5 inches above ground surface.  Water level 12.19 ft bgs on 6/18/1997.  Purge time 24 min., RJK added elev 8/3/05	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Total Well Depth [ft] updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-0.8	Alluvial	35.87639	-106.29293	6887.58	Qal	1994-05-11 00:00:00	12.85	4 in	7.5	12.500	NULL, NULL, Brass cap elevation, Brass cap elevation	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-0.91	Alluvial	35.87621	-106.28971	NULL	NULL	1994-05-12 00:00:00	14.85	NULL	9.5	14.500	NULL, NULL	NULL	General	Los Alamos	A	NULL	[84]		Well Info	
LAO-1	Alluvial	35.87552	-106.2872	6836.24	Qal	1966-02-01 00:00:00	28.00	3 in	8	28.000	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-1.1	Alluvial	35.87477	-106.28151	6797	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, Location carried over from ESH database, but without coords.  NMED GPSd in the coords.	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Aquifer updated from MW, Ground Elevation updated from MW	Well Info	
LAO-1.2	Alluvial	35.87389	-106.27623	NULL	NULL	1969-04-01 00:00:00	18.00	NULL	8	18.000	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]		Well Info	
LAO-1.6g	Alluvial	35.87168	-106.26463	6658.01	Qal	1996-03-20 00:00:00	30.82	4 in	10.47	25.470	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-1.8	Alluvial	35.87197	-106.26678	6680.000	Qal	1969-04-01 00:00:00	18.00	3 in	8	18.000	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-2	Alluvial	35.87316	-106.25948	NULL	NULL	1966-02-01 00:00:00	32.00	NULL	7	32.000	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]		Well Info	
LAO-3	Alluvial	35.87317	-106.25812	6607.600	NULL	1966-02-01 00:00:00	24.00	NULL	9	24.000	Elevation revised based on LIDAR surface location pick, NULL	NULL	TA-21	Los Alamos	A	2012-03-15 10:48:00	[84]		Well Info	
LAO-3a	Alluvial	35.87317	-106.25822	6609.1	Qal	1989-09-14 00:00:00	14.70	2	4.7	14.700	NULL, NULL, Elevation revised based on LIDAR surface location pick, Elevation revised based on LIDAR surface location pick	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAO-4	Alluvial	35.87216	-106.24887	6548.000	Qal	1966-02-01 00:00:00	24.00	3 in	14	24.000	Elevation revised based on LIDAR surface location pick, NULL, Elevation revised based on LIDAR surface location pick, Elevation revised based on LIDAR surface location pick	NULL	TA-21	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-4.5	Alluvial	35.87039	-106.23906	6479.800	Qal	1969-04-01 00:00:00	40.00	3 in	10	40.000	Elevation revised based on LIDAR surface location pick, NULL, Elevation revised based on LIDAR surface location pick, Elevation revised based on LIDAR surface location pick	NULL	TA-21	Los Alamos	A	2012-03-15 10:48:00	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-4.5c	Alluvial	35.87036	-106.23943	NULL	NULL	1989-11-01 00:00:00	23.30	NULL	13.3	23.300	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]		Well Info	
LAO-5	Alluvial	35.86857	-106.23047	NULL	NULL	1966-02-01 00:00:00	25.00	NULL	5	25.000	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]		Well Info	
LAO-6	Alluvial	35.86831	-106.23041	6423.500	Qal	1966-02-01 00:00:00	16.00	3 in	6	16.000	Elevation revised based on LIDAR surface location pick, NULL, Elevation revised based on LIDAR surface location pick, Elevation revised based on LIDAR surface location pick	NULL	TA-21	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-6a	Alluvial	35.86835	-106.23041	NULL	NULL	1989-08-17 00:00:00	14.20	NULL	4.2	14.200	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]		Well Info	
LAO-B	Alluvial	35.87883	-106.3353	7323.59	Qal	1994-04-28 00:00:00	27.20	4 in	11.84	26.840	NULL, NULL, Elev. measured from GL. Background alluvial monitoring well.  Background well west of ice rink in LA canyon	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAO-C	Alluvial	35.87906	-106.31164	7049.980	Qal	1970-08-01 00:00:00	13.00	3 in	3	13.000	NULL, NULL	NULL	General	Los Alamos	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
LAOI(a)-1.1	Intermediate	35.87543	-106.28709	6835.2	Qbog	1994-11-08 00:00:00	310.20	3	295.2	305.000	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAOI-3.2	Intermediate	35.87308	-106.25937	6622.6	Qbog	2005-03-01 00:00:00	165.00	2.1	153.3	162.800	NULL, NULL, added for P Longmire.  Location data taken from Brass Cap survey data., added for P Longmire.  Location data taken from Brass Cap survey data.	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAOI-3.2 OB	Intermediate	35.87308	-106.25937	6622.600	NULL	NULL	NULL	NULL	NULL	NULL	added for P Longmire.  Location data taken from Brass Cap survey data., NULL, added for P Longmire.  Location data taken from Brass Cap survey data., added for P Longmire.  Location data taken from Brass Cap survey data.	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
LAOI-3.2a	Intermediate	35.87318	-106.25944	6624.43	Tpf	2006-01-20 00:00:00	194.10	3.1	181.4	191.000	NULL, NULL, Brass Cap Location, Brass Cap Location	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAOI-3.2a OB	Intermediate	35.87318	-106.25944	6624.430	NULL	NULL	NULL	NULL	NULL	NULL	Brass Cap Location, NULL, Brass Cap Location, Brass Cap Location	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
LAOI-7	Intermediate	35.86901	-106.23524	6458.35	Tb4	2005-09-21 00:00:00	264.90	3	240	259.600	NULL, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAOR-1	Alluvial	35.87642	-106.28991	6864.83	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Los Alamos	NULL	NULL	[84]	Ground Elevation updated from MW, Aquifer updated from MW	Well Info	
LAUZ-1	Alluvial	35.87787	-106.27357	7032.42	NULL	NULL	10.55	4 in	5.35	10.350	NULL, DP Canyon, OU 1106 (TA-21), Surv-Tek Survey, Surv-Tek Survey	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Well Diameter [in] updated from MW	Well Info	
LAUZ-2	Alluvial	35.87765	-106.27161	7026.72	NULL	NULL	10.47	4 in	5.27	10.270	NULL, NULL, OU 1106 (TA-21), Surv-Tek Survey, Surv-Tek Survey	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Well Diameter [in] updated from MW	Well Info	
MCA-1	Alluvial	35.86578	-106.29668	7070.600	Qal	2005-01-24 00:00:00	5.90	1 in	2.4	5.400	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	General	Mortendad	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCA-2	Alluvial	35.86077	-106.27133	6837.200	Qal	2004-10-24 00:00:00	65.00	2.1 in	45	60.000	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	Chromium	Mortendad	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCA-4	Alluvial	35.865	-106.29884	7135.100	Qal	2005-02-05 00:00:00	5.40	1.0 in	3.3	5.300	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	General	Mortendad	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCA-5	Alluvial	35.86529	-106.29409	7053.800	Qal	2005-02-05 00:00:00	6.00	1.0 in	1.75	5.750	Brass cap location, NULL, Brass cap location, Brass cap location	NULL	General	Mortendad	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCO-0.6	Alluvial	35.86789	-106.30545	7188.280	Qal	1999-02-25 00:00:00	3.10	2	1.05	3.050	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]		Well Info	
MCO-1	Alluvial	35.86509	-106.30054	7153.000	NULL	1960-11-01 00:00:00	8.00	3.0 in	1	8.000	Unable to locate in 1991, Open hole from 1 to 8 ft. Unlocatable, Unable to locate in 1991, Unable to locate in 1991	NULL	General	Mortendad	A	2012-03-15 10:48:00	[84]	Well Diameter [in] updated from MW	Well Info	
MCO-13	Alluvial	35.85779	-106.24744	6674.48	NULL	1970-07-01 00:00:00	107.00	2 in	87	107.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW, Well Diameter [in] updated from MW	Well Info	
MCO-2	Alluvial	35.86502	-106.29893	NULL	NULL	1960-11-01 00:00:00	9.00	NULL	2	9.000	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]		Well Info	
MCO-3	Alluvial	35.8653	-106.29406	NULL	Qal	1967-03-01 00:00:00	12.00	3	2	12.000	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]		Well Info	
MCO-4	Alluvial	35.86407	-106.28106	6897.540	NULL	1963-10-01 00:00:00	19.00	3 in	4	19.000	MCO-4 plugged and abandoned in 2000, see Benak et al. 2000, MCO-4 Plugged and Abandoned, MCO-4 plugged and abandoned in 2000, see Benak et al. 2000, MCO-4 plugged and abandoned in 2000, see Benak et al. 2000	NULL	General	Mortendad	PA	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
MCO-4B	Alluvial	35.86382	-106.27828	NULL	Qal	1990-08-01 00:00:00	33.90	2	8.9	28.900	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info	
MCO-5	Alluvial	35.86339	-106.27683	6875.66	Qal	1960-10-01 00:00:00	46.00	3	21	46.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
MCO-6	Alluvial	35.86194	-106.27289	NULL	Qal	1974-03-01 00:00:00	47.00	4	27	47.000	NULL, Replaced older MCO-6 that was P&A	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info	
MCO-6.5A	Alluvial	35.8608	-106.27217	6842.190	NULL	1961-11-01 00:00:00	45.00	NULL	25	45.000	Plugged and abandoned in 2000, see Benak et al. 2000, NULL	NULL	Chromium	Mortendad	A	2012-03-15 10:48:00	[84]		Well Info	
MCO-6.5B	Alluvial	35.86105	-106.27178	6838.840	NULL	1961-11-01 00:00:00	42.00	NULL	22	42.000	Plugged and abandoned in 2000, see Benak et al. 2000, NULL	NULL	Chromium	Mortendad	A	2012-03-15 10:48:00	[84]		Well Info	
MCO-6B	Alluvial	35.86186	-106.2729	6850.290	Qal	1990-08-01 00:00:00	47.10	2 in	22	42.000	NULL, NULL	NULL	Chromium	Mortendad	A	2012-03-15 10:48:00	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCO-7	Alluvial	35.86056	-106.26991	6827.31	Qal	1960-10-01 00:00:00	69.00	3	39	69.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
MCO-7.5	Alluvial	35.86037	-106.26675	NULL	NULL	1974-04-01 00:00:00	60.00	NULL	35	60.000	NULL, Redrilled in 1974	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info	
MCO-7A	Alluvial	35.86056	-106.26996	6827.580	Qal	1989-11-04 00:00:00	44.80	3 in	34.8	44.800	NULL, NULL	NULL	Chromium	Mortendad	A	2012-03-15 10:48:00	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCO-8	Alluvial	35.86062	-106.26484	6796.700	NULL	1960-10-01 00:00:00	84.00	NULL	64	84.000	Plugged and abandoned in 2000, see Benak et al. 2000, Plugged and abandoned	NULL	Chromium	Mortendad	PA	2012-03-15 10:48:00	[84]		Well Info	
MCO-8.2	Alluvial	35.86094	-106.26253	6781.600	Qal	1961-11-01 00:00:00	70.00	2 in	60	70.000	NULL, NULL	NULL	Chromium	Mortendad	A	2012-03-15 10:48:00	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCOBT-4.4	Intermediate	35.86057	-106.27102	6836.18	Tpf	2003-06-01 00:00:00	545.00	4.5 in	485.4	524.000	NULL, Plugged and abandoned 7/29/2009, Brass Monument  MCOBT-4.4 plugged and abandoned 7/29/09, Brass Monument  MCOBT-4.4 plugged and abandoned 7/29/09	NULL	Chromium	Mortendad	PA	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCOBT-4.4 OB	Intermediate	35.86057	-106.27102	6836.180	NULL	NULL	NULL	NULL	NULL	NULL	Brass Monument MCOBT-4.4 plugged and abandoned 7/29/09, NULL, Brass Monument  MCOBT-4.4 plugged and abandoned 7/29/09, Brass Monument  MCOBT-4.4 plugged and abandoned 7/29/09	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW	Well Info	
MCOBT-8.5	NULL	35.86116	-106.26251	6780.500	NULL	2003-06-01 00:00:00	0.00	NULL	NULL	NULL	Borehole plugged and abaonded, MCOBT 8.5 was abandoned.  Surface pad was not installed.  Surface completion was done by SW Abatement.	NULL	Chromium	Mortendad	PA	2012-03-15 10:48:00	[84]		Well Info	
MCOI-4	Intermediate	35.86065	-106.27122	6837.2	Tpf	2004-11-07 00:00:00	525.70	4.5 in	498.9	522.000	NULL, NULL, Brass Monument, Brass Monument, Brass Monument	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCOI-5	Intermediate	35.85999	-106.26744	6819.7	Tb4	2004-10-25 00:00:00	702.70	4.5	689.04	699.000	NULL, NULL, Brass Monument, Brass Monument, Brass Monument	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
MCOI-6	Intermediate	35.86034	-106.26711	6811.1	Tb4	2005-01-13 00:00:00	713.20	4.5	686	708.300	NULL, NULL, Brass Monument, Brass Monument, Brass Monument	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
MCOI-8	Intermediate	35.8625	-106.27392	6859.200	Tb4	2005-01-08 00:00:00	678.60	4.5 in	665	674.960	Brass Monument, NULL, Brass Monument, Brass Monument	NULL	Chromium	Mortendad	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCS-3.2	NULL	35.86479	-106.29019	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Locations estimated in April 2010 by georeferencing locations on old ESR maps., NULL	NULL	General	Mortendad	NULL	2012-03-15 10:48:00	[84]		Well Info	
MCS-3.9	NULL	35.86393	-106.28243	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Locations estimated in April 2010 by georeferencing locations on old ESR maps., NULL	NULL	General	Mortendad	NULL	2012-03-15 10:48:00	[84]		Well Info	
MCWB-6.5E	Alluvial	35.86077	-106.27222	6843.800	Qal	1994-12-21 00:00:00	50.00	3 in	35	45.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
MCWB-7.7B	Alluvial	35.86058	-106.26517	NULL	NULL	1994-12-20 00:00:00	70.00	NULL	55	65.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]		Well Info	
MO-00050	NULL	35.86064	-106.26843	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Record created for data migration. Coordinates loaded in 2008 for data cleanup, same xy as location MCO-7.2. Coordinate accuracy is unknown., NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
