locationID	LONGITUDE	LATITUDE	GROUND_ELE	SURVEYING_	LOCATION_D	LOCATION_C	WELL_TOTAL	DEPTH_UNIT	TOP_OF_CAS	WELL_DIAME	PERFORATIO	PERFORAT_1	AQUIFER	HYDROSTRAT	GEOLOGICAL	WELL_COMPL	field_18
PCAO-8	-106.238365200000000	35.827216700000000	6584.45	SW MTN SURVEY	None	Brass Cap	25	ft	6584.45	4 in	9.7	19.7	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12281	
R-22 S3	-106.233442999999000	35.829245999999900	6650.5	None	None	original x, y = 1645327, 1757112	None	None	None	None	None	None	None	None	None	None	
R-36	-106.238220000000000	35.858438999999900	6591.37	None	None	None	None	None	None	None	None	None	None	None	None	None	
SCA-2	-106.264519900000000	35.865434999999900	6749.08	Kleinfelder 2006 WCR	None	Brass monument xyz	15.6	ft	None	2 in	10.3	15	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12379	
R-7 S2	-106.279538100000000	35.874689699999900	6779.2	Completion Report	None	Location info taken from Brass cap monument survey data from R-7 WCR.	None	None	None	None	730.4	746.4	Intermediate	None	Tp	None	
SCP-1abc S3	-106.257296800000000	35.863469799999900	6703.65	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-13	-106.248059500000000	35.856399500000000	6673.05	Well Completion Rpt	None	Location information from Brass Cap survey data in WCR.	1029.4	ft	6673.05	4.5 in	958.3	1018.7	Regional	Regional Top	Tp	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12317	
LA-10070	-106.230406800000000	35.868348200000000	6396	WQH	None	Survey date and accuracy for coordinates and elevation are UNKNOWN.	None	None	None	None	None	None	None	None	None	None	
R-53 S2	-106.251035900000000	35.836801299999900	6689.98	WCR, SW MTN SURVEY	None	brass cap location	None	None	None	None	959.7	980.2	Regional	Regional Deep	Tpf	None	
R-61 S2	-106.261203800000000	35.857575599999900	6940.12	Well Completion Rpt	None	Brass cap location from WCR, rounded to 2 digits	None	None	None	None	1220.4	1241	Regional	Regional Deep	Tsfu	None	
MCO-4	-106.281058400000000	35.864070599999900	6897.54	Stoker	None	MCO-4 plugged and abandoned in 2000, see Benak et al. 2000	19	ft	None	3 in	4	19	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12184	
LAOI-7	-106.235243600000000	35.869008500000000	6458.35	Kleinfelder survey	None	Brass Cap location Kleinfelder survey	264.9	ft	6458.35	3 in	240	259.6	Intermediate	Intermediate Perched	Tb4	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12134	
R-12 S2	-106.226350000000000	35.858922999999900	6499.6	None	None	original x, y, z = 1647398,1767947,6505.95	None	None	None	None	None	None	None	None	None	None	
33-22850	-106.273675000000000	35.860623799999900	None	Well Completion Rpt	None	Coordinates loaded in 2008 for data cleanup, same xy as location R-33. Coordinate accuracy is unknown.	None	None	None	None	None	None	None	None	None	None	
PU-10228	-106.220318400000000	35.872950600000000	6368	WQH	None	Survey date and accuracy for coordinates and elevation are UNKNOWN.	None	None	None	None	None	None	None	None	None	None	
R-53 S2	-106.251036000000000	35.836801000000000	6689.98	None	None	estimated location pending survey	None	None	None	None	None	None	None	None	None	None	
R-4	-106.253810000000000	35.882598000000000	6577.49	None	None	None	None	None	None	None	None	None	None	None	None	None	
MCOBT-4.4	-106.271015199999000	35.860574900000000	6836.18	LANL 2002 WCR	None	Brass Monument  MCOBT-4.4 plugged and abandoned 7/29/09	545	ft	6838.58	4.5 in	485.4	524	Intermediate	Intermediate	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12220	
R-19 S6	-106.285420800000000	35.837871700000000	7066.3	Well Completion Rpt	None	Location info taken from Brass Cap survey data in R-19 WCR.	None	None	None	None	1726.8	1733.9	Regional	Regional Deep	Tpf	None	
R-8	-106.247561700000000	35.871675699999900	6544.74	Completion Report	None	Location info taken from Brass cap monument survey data from R-8 WCR.	None	None	None	None	None	None	None	None	None	None	
SWA-4-10	-106.310619700000000	35.873572299999900	None	TERRANEAR PMC	None	Formerly SCPZ-10	8.44	ft	7213.06	2 in	2.5	8.44	Alluvial	None	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12453	
R-3i	-106.220364600000000	35.871794500000000	6390.15	Well Completion Rpt	None	Brass monument survey from R-3i WCR	220.34	ft	6390.15	2 in	215.2	220	Intermediate	Intermediate Perched	Tb4	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12039	
SWA-3	-106.311086300000000	35.873797199999900	None	TERRANEAR PMC	None	Formerly SWA-3	None	None	None	None	None	None	None	None	None	None	
LAOI-7	-106.235243600000000	35.869008500000000	6458.35	Kleinfelder survey	None	Brass Cap location Kleinfelder survey	264.9	ft	6460.15	3 in	240	259.6	Intermediate	Intermediate Perched	Tb4	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12134	
R-32	-106.248714600000000	35.830948599999900	6637.63	Well Completion Rpt	None	Location info taken from Brass cap monument survey data from R-32 WCR.	None	None	None	None	None	None	None	None	None	None	
R-49 S1	-106.238245800000000	35.827298499999900	6584.54	SW MTN SURVEY	None	Brass cap location	None	None	None	None	845	855	Regional	Regional Top	Tb4	None	
LA-10067	-106.259480500000000	35.873162700000000	6593	WQH	None	Survey date and accuracy for coordinates and elevation are UNKNOWN.	None	None	None	None	None	None	None	None	None	None	
R-64	-106.275407500000000	35.877197000000000	7121.74	Well Completion Rpt	None	brass cap location rounded to decimal places	1316.1	ft	7124.68	5 in	1285	1305.5	Regional	Regional Top	Tjfp	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12372	
R-13 OB	-106.248059500000000	35.856399500000000	6673.05	Well Completion Rpt	None	Location information from Brass Cap survey data in WCR.	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
LAWS-01 S2	-106.219259100000000	35.866999700000000	6363.4	None	None	None	None	None	None	None	None	None	None	None	None	None	
TA-53i	-106.265410399999000	35.868283099999900	6987.17	Well Completion Rpt	None	Brass cap survey location	620.8	ft	None	5 in	600	610	Intermediate	Intermediate	Tf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12462	
LADP-3	-106.275078400000000	35.874187399999900	6754.19	Broxton/ER Pts DB	None	Brass Cap	326.3	ft	6756.342	2 in	317.56	326.3	Intermediate	Intermediate Perched	Qbog	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12161	
18-MW-17	-106.258901900000000	35.836406799999900	6695.2	ECR GIS Team, McLean	None	None	22	ft	None	2 in	12	22	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12480	
R-17 OB	-106.292590100000000	35.853279399999900	6921.51	Kleinfelder data	None	Brass Cap location Kleinfelder survey	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
21-01811	-106.273567300000000	35.877869099999900	7032.42	UNKNOWN	None	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:DP boreholes	None	None	None	None	None	None	None	None	None	None	
SWL-2	-106.312428100000000	35.874751199999900	None	TERRANEAR PMC	None	None	None	None	None	None	None	None	None	None	None	None	
R-57 S1	-106.234169700000000	35.829869100000000	6648.04	Well Completion Rpt	None	Brass cap location	None	None	None	None	910	930.5	Regional	Regional Top	Tb4	None	
CDBO-4	-106.232934599999000	35.833190999999900	6564.5	Buckley	None	None	12	ft	None	2 in	4	12	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12432	
SCPZ-5	-106.312481700000000	35.874673999999900	None	None	None	None	None	ft	None	None	3	5.4	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12070	
R-7 S3	-106.279538000000000	35.874690000000000	6779.2	None	None	Original x, y = 1631673, 1773650	None	None	None	None	None	None	None	None	None	None	
SWL-4	-106.310561800000000	35.873706599999900	None	TERRANEAR PMC	None	None	None	None	None	None	None	None	None	None	None	None	
R-56	-106.249694100000000	35.834559900000000	6780.88	Well Completion Rpt	None	brass cap location	None	None	None	None	None	None	None	None	None	None	
R-32 OB	-106.248714600000000	35.830948599999900	6637.63	Well Completion Rpt	None	Location info taken from Brass cap monument survey data from R-32 WCR.	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
R-45 S1	-106.250564000000000	35.859211000000000	6704.02	None	None	None	None	None	None	None	None	None	None	None	None	None	
SWL-1	-106.314754900000000	35.875424299999900	None	TERRANEAR PMC	None	None	None	None	None	None	None	None	None	None	None	None	
R-40	-106.262782300000000	35.839384600000000	6719.24	Completion Report	None	Brass cap location	None	None	None	None	None	None	None	None	None	None	
R-20 S3	-106.258709000000000	35.836345000000000	6694.35	None	None	None	None	None	None	None	None	None	None	None	None	None	
SWA-4-12	-106.310561600000000	35.873700100000000	None	TERRANEAR PMC	None	Formerly SWA-4	8.53	ft	7213.04	2 in	2.99	8.19	Alluvial	None	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12455	
R-35b	-106.243863899999000	35.862797299999900	6625.21	WCR, SW MTN SURVEY	None	Brass monument survey  resurvey 02/10/09	872.2	ft	6625.21	4.5 in	825.4	848.5	Regional	Regional Top	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12342	
R-8 OB	-106.247561700000000	35.871675699999900	6544.74	Completion Report	None	Location info taken from Brass cap monument survey data from R-8 WCR.	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
R-9i S2	-106.223720000000000	35.866956000000000	6383.2	None	None	Original x, y, z = 1648208.8, 1770834.7, 6383.85	None	None	None	None	None	None	None	None	None	None	
R-20	-106.258708900000000	35.836344699999900	6694.35	Completion Report	None	Location info taken from Brass Monument survey data from R-20 WCR.	None	None	None	None	None	None	None	None	None	None	
MCO-0.6	-106.305451400000000	35.867885100000000	7188.28	Gray 2001	None	None	3.1	ft	7192.09	2.0 in	1.05	3.05	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12073	
LAO-6	-106.230405000000000	35.868308399999900	6423.5	None	None	Elevation revised based on LIDAR surface location pick	16	ft	None	3 in	6	16	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12141	
LA-10035	-106.258221800000000	35.873173199999900	6579	UNKNOWN	None	Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates.	None	None	None	None	None	None	None	None	None	None	
MCWB-8.1B	-106.263016100000000	35.860860799999900	6783.8	S. McLin	None	None	72.5	ft	None	None	47.5	67.5	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12247	
R-50 S2	-106.255907600000000	35.856655300000000	6904.11	WCR, SW MTN SURVEY	None	Brass Cap location	None	None	None	None	1185	1205.6	Regional	Regional Deep	Tsfu	None	
R-10 S2	-106.205965300000000	35.850271200000000	6362.31	Kleinfelder data	None	Brass Cap location Kleinfelder survey	None	None	None	None	1042	1065	Regional	Regional Deep	Tsf	None	
18-MW-10	-106.266217000000000	35.840105000000000	6735.9	None	None	TA-18	None	None	None	None	None	None	None	None	None	None	
R-55	-106.227508500000000	35.829687999999900	6533.86	WCR, SW MTN SURVEY	None	brass cap surveyed location	None	None	None	None	None	None	None	None	None	None	
R-61 S2	-106.261203800000000	35.857575599999900	6940.12	Well Completion Rpt	None	Brass cap location from WCR, rounded to 2 digits	None	None	None	None	1220.4	1241	Regional	Regional Deep	Tsfu	None	
R-32 S3	-106.248714600000000	35.830948599999900	6637.63	Well Completion Rpt	None	Location info taken from Brass cap monument survey data from R-32 WCR.	None	None	None	None	972.9	980.6	Regional	Regional Deep	Tpf	None	
R-23i S3	-106.224762500000000	35.823851800000000	6527.88	Kleinfelder data	None	Brass Cap location Kleinfelder survey	None	None	None	None	524	547	Intermediate	Intermediate Perched	Tb4	None	
PAO-4	-106.230847500000000	35.878662599999900	6437.37	D. KATZMAN	None	Pueblo Canyon alluvial wellefile N. McCranie ALLU PAO-4. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170262, duplicate location, changed to Synonym.	9.82	ft		6440.77	4 in	Multiple	Multiple	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12272
Test Well 4	-106.305327700000000	35.885744299999900	7244.56	Pratt	None	None	1205	ft	None	6 in	1195	1205	Regional	Regional	None	None	
SCPZ-12	-106.310578300000000	35.873713700000000	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-43 S2	-106.260734200000000	35.863598400000000	6732.65	WCR, SW MTN SURVEY	None	Brass Cap location	None	None	None	None	969.1	979.1	Regional	Regional Deep	Tsfu	None	
SWA-2-5	-106.312481700000000	35.874673999999900	None	TERRANEAR PMC	None	Formerly SCPZ-5	9.18	ft	7226.22	2 in	6.18	12.14	Alluvial	None	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12448	
R-19 S7	-106.285420800000000	35.837871700000000	7066.3	Well Completion Rpt	None	Location info taken from Brass Cap survey data in R-19 WCR.	None	None	None	None	1832.4	1839.5	Regional	Regional Deep	Tpf	None	
R-54	-106.255442700000000	35.836093200000000	6679.85	WCR, SW MTN SURVEY	None	Brass Cap location	None	None	None	None	None	None	None	None	None	None	
MCA-3b	-106.273041900000000	35.862099800000000	6852.9	Kleinfelder survey	None	Brass cap location	42.1	ft	6855.3	0.8 in	40.9	41.4	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12096	
R-53 S1	-106.251036000000000	35.836801000000000	6689.98	None	None	estimated location pending survey	None	None	None	None	None	None	None	None	None	None	
SWL-2	-106.312428100000000	35.874751199999900	None	TERRANEAR PMC	None	None	None	None	None	None	None	None	None	None	None	None	
R-10	-106.205965300000000	35.850271200000000	6362.31	Kleinfelder data	None	Brass Cap location Kleinfelder survey	None	None	None	None	None	None	None	None	None	None	
LAO-4.5	-106.239055500000000	35.870392199999900	6479.8	Stoker	None	Elevation revised based on LIDAR surface location pick	40	ft	None	3 in	10	40	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12147	
LAO-B	-106.335296799999000	35.878831800000000	7323.59	Gray 2001	None	None	27.2	ft	None	4 in	11.84	26.84	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12139	
R-12 S3	-106.226350000000000	35.858922999999900	6499.6	None	None	original x, y, z = 1647398,1767947,6505.95	None	None	None	None	None	None	None	None	None	None	
SWA-4-11	-106.310597599999000	35.873652600000000	None	TERRANEAR PMC	None	Formerly SCPZ-11(B)	9.17	ft	7214.07	2 in	3	9.17	Alluvial	None	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12454	
SCA-5	-106.251817399999000	35.863905699999900	6669.02	Kleinfelder 2006 WCR	None	Brass monument xyz	64.9	ft	None	2 in	55	64.4	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12382	
LAWS-01 S3	-106.219259100000000	35.866999700000000	6363.4	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-22	-106.233443200000000	35.829246499999900	6650.5	Well Completion Rpt	None	Location info taken from Brass cap survey data from R-22 WCR.	None	None	None	None	None	None	None	None	None	None	
R-8 S2	-106.247561700000000	35.871675699999900	6544.74	Completion Report	None	Location info taken from Brass cap monument survey data from R-8 WCR.	None	None	None	None	821	828	Regional	Regional	Tp	None	
SCA-1-DP	-106.310536600000000	35.873610999999900	7211.2	None	None	Exact coordinates to be determined. Sampling is planned very close to SCA-1.	2.66	ft	None	2 in	2.16	2.66	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12378	
LAO-1.6g	-106.264626400000000	35.871683099999900	6658.01	Gray 2001	None	None	30.82	ft	None	4 in	10.47	25.47	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12153	
PCO-1	-106.258426099999000	35.837158299999900	6687	Stoker	None	None	12	ft	None	None	4	12	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12284	
R-10a	-106.206148000000000	35.850315000000000	6363.74	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-10a	-106.206148500000000	35.850314800000000	6363.74	Kleinfelder data	None	Brass Cap location Kleinfelder survey	706	ft	6363.74	4.5 in	690	700	Regional	Regional Top	Tsf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12115	
SWA-1-2	-106.314756300000000	35.875417700000000	None	TERRANEAR PMC	None	Formerly SWA-1	13.6	ft	7244.53	2 in	6.03	13.17	None	None	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12444	
SCP-1abc S1	-106.257296800000000	35.863469799999900	6703.65	None	None	None	None	None	None	None	None	None	None	None	None	None	
CDBO-3	-106.249121200000000	35.836115700000000	6670.2	PG	None	None	13	ft	None	4 in	3	12.5	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=11996	
SCP-1abc	-106.257296800000000	35.863469799999900	6703.65	Kleinfelder WCR	None	Brass monument location	41.8	ft	None	1 in	Multiple	Multiple	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12394	
R-13 OB	-106.248059500000000	35.856399500000000	6673.05	Well Completion Rpt	None	Location information from Brass Cap survey data in WCR.	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
R-5 SC	-106.228767199999000	35.873070499999900	None	None	None	None	None	None	None	None	846	846	Regional	None	None	None	
PAO-3	-106.259010100000000	35.883493399999900	6578.58	D. KATZMAN	None	Pueblo Canyon alluvial wellefile N. McCranie allu PAO-3. Source Org Code changed to ER/WQH.  Location data from ER, sampled by WQH.  Deleted ULI 170252, duplicate location, changed to Synonym.	13.47	ft	None	4 in	5.62	10.62	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12271	
TW-2A(r)	-106.256130799999000	35.856690100000000	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
PAO-5n	-106.220109300000000	35.873262400000000	6369.79	ER	None	None	None	None	None	None	None	None	None	None	None	None	
R-20 S2	-106.258709000000000	35.836345000000000	6694.35	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-15 OB	-106.267239200000000	35.859910200000000	6820	Completion Report	None	Location info taken from Brass Monument survey data in R-15 WCR.	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
R-32 S2	-106.248714600000000	35.830948599999900	6637.63	Well Completion Rpt	None	Location info taken from Brass cap monument survey data from R-32 WCR.	None	None	None	None	931.8	934.9	Regional	Regional	Tpf	None	
SWL-3	-106.311089900000000	35.873800099999900	None	TERRANEAR PMC	None	None	None	None	None	None	None	None	None	None	None	None	
R-10	-106.205965300000000	35.850271200000000	6362.31	Kleinfelder data	None	Brass Cap location Kleinfelder survey	None	None	None	None	None	None	None	None	None	None	
03-MW-1	-106.330127000000000	35.873736000000000	7457.7	None	None	None	None	None	None	None	None	None	None	None	None	None	
MCOBT-4.4	-106.271015199999000	35.860574900000000	6836.18	LANL 2002 WCR	None	Brass Monument  MCOBT-4.4 plugged and abandoned 7/29/09	545	ft	6838.58	4.5 in	485.4	524	Intermediate	Intermediate	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12220	
SCPZ-1	-106.314747800000000	35.875410299999900	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-9i	-106.223720500000000	35.866956199999900	6383.2	Completion Report	None	Location info taken from Brass monument survey data from R-9i WCR.	None	None	None	None	None	None	None	None	None	None	
SCPZ-11(B)	-106.310597599999000	35.873652600000000	None	None	None	None	None	ft	None	None	1	5.4	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12404	
R-66	-106.259868800000000	35.873087200000000	6626.96	None	None	None	849.8	ft	6626.96	5.11 in	819.4	839.7	Regional	Regional Top	Tcar	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12373	
MCA-3def	-106.268665500000000	35.860598899999900	6819.8	Kleinfelder survey	None	Brass cap location	55.8	ft	6822.8	0.8 in	Multiple	Multiple	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12095	
R-45 S2	-106.250564000000000	35.859211000000000	6704.02	None	None	None	None	None	None	None	None	None	None	None	None	None	
LAWS-01 S2	-106.219259100000000	35.866999700000000	6363.4	None	None	None	None	None	None	None	158	168	Intermediate	None	Tb4	None	
R-54	-106.255442700000000	35.836093200000000	6679.85	WCR, SW MTN SURVEY	None	Brass Cap location	None	None	None	None	None	None	None	None	None	None	
MCWB-7.4B	-106.267309700000000	35.860281999999900	6813.07	S. McLin	None	None	70	ft	None	3 in	45	65	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12243	
18-MW-9	-106.265071300000000	35.839638299999900	6732.91	WP Pajarito Cy	None	None	21	ft	None	2 in	6	21	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=11997	
R-44 S1	-106.251199099999000	35.856717300000000	6714.91	WCR, SW MTN SURVEY	None	Brass cap location	None	None	None	None	895	905	Regional	Regional Top	Tpf	None	
02-01076	-106.287204300000000	35.875520000000000	6836	SURV TEK	None	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-1	None	None	None	None	None	None	None	None	None	None	
R-9i S1	-106.223720000000000	35.866956000000000	6383.2	None	None	Original x, y, z = 1648208.8, 1770834.7, 6383.85	None	None	None	None	None	None	None	None	None	None	
MCOI-4	-106.271221999999000	35.860650000000000	6837.2	Kleinfelder survey	None	Brass Monument	525.7	ft	6839.9	4.5 in	498.9	522	Intermediate	Intermediate Perched	Tpf	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12225	
MCWB-7A	-106.270452199999000	35.860674899999900	6831.17	S. McLin	None	None	52	ft	None	None	37	47	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12049	
R-54 S2	-106.255442700000000	35.836093200000000	6679.85	WCR, SW MTN SURVEY	None	Brass Cap location	None	None	None	None	915	925	Regional	Regional Deep	Tpf	None	
Test Well 4	-106.305327700000000	35.885744299999900	7244.56	Pratt	None	None	1205	ft	None	6 in	1195	1205	Regional	Regional	None	None	
MT-1	-106.267393700000000	35.860518599999900	6811.63	LANL 1997 MC WP	None	None	69	ft	None	None	39	59	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12255	
R-34	-106.239272000000000	35.848252000000000	6629.99	None	None	San I Property.	None	None	None	None	None	None	None	None	None	None	
R-44	-106.251199099999000	35.856717300000000	6714.91	WCR, SW MTN SURVEY	None	Brass cap location	None	None	None	None	None	None	None	None	None	None	
PCAO-5	-106.294737600000000	35.853531099999900	6943.29	SW MTN SURVEY	None	Brass Cap	30	ft	None	4 in	14.7	24.7	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12275	
CDBO-4	-106.232934599999000	35.833190999999900	6564.5	Buckley	None	None	12	ft	None	2 in	4	12	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12432	
18-BG-1	-106.271135400000000	35.844257800000000	6776.45	WP Pajarito Cy	None	None	35	ft	None	2 in	10	35	Alluvial	Alluvial	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12486	
SCPZ-7	-106.311137900000000	35.873757499999900	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
LA-10035	-106.258221800000000	35.873173199999900	6579	UNKNOWN	None	Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates.	None	None	None	None	None	None	None	None	None	None	
SC-26614	-106.206148500000000	35.850314800000000	6363.7	REFERENCE	None	Accuracy of coordinates is unknown. Coordinates are from Final Completion Report for Characterization Well R-10a/R-10.	None	None	None	None	None	None	None	None	None	None	
SWA-4-12	-106.310561600000000	35.873700100000000	None	TERRANEAR PMC	None	Formerly SWA-4	8.19	ft	7213.04	2 in	2.99	8.19	Alluvial	None	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12455	
SCP-2b	-106.260839500000000	35.864422099999900	6723.11	Kleinfelder WCR	None	None	50.1	ft	6725.31	1 in	49.5	50	Alluvial	None	Qal	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12398	
R-40 S1	-106.262782300000000	35.839384600000000	6719.24	Completion Report	None	Brass cap location	None	None	None	None	751.59	785.06	Intermediate	Intermediate Perched	Tb4	None	
MCA-3def S2	-106.268665500000000	35.860598899999900	6819.8	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-41 S1	-106.233804800000000	35.830989600000000	6660.53	Well Completion Rpt	None	Brass cap location	None	None	None	None	928	937.7	Intermediate	Intermediate Perched	Tsf	None	
SWA-1-2	-106.314756300000000	35.875417700000000	None	TERRANEAR PMC	None	Formerly SWA-1	None	None	None	None	None	None	None	None	None	None	
SCA-4	-106.257277000000000	35.863468200000000	6703.58	Kleinfelder 2006 WCR	None	Brass monument xyz	42	ft	None	2 in	37	41.5	Alluvial	Alluvial	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12381	
LAWS-01 S4	-106.219259100000000	35.866999700000000	6363.4	None	None	None	None	None	None	None	None	None	None	None	None	None	
LA-10070	-106.230406800000000	35.868348200000000	6396	WQH	None	Survey date and accuracy for coordinates and elevation are UNKNOWN.	None	None	None	None	None	None	None	None	None	None	
B1	-106.330126500000000	35.873736000000000	7457.7	None	None	None	None	None	None	None	None	None	None	None	None	None	
R-17 OB	-106.292590100000000	35.853279399999900	6921.51	Kleinfelder data	None	Brass Cap location Kleinfelder survey	None	ft	None	None	-9999	-9999	Regional	Regional	None	None	
SWA-4-10	-106.310619700000000	35.873572299999900	None	TERRANEAR PMC	None	Formerly SCPZ-10	8.96	ft	7213.06	2 in	2.5	8.44	Alluvial	None	None	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12453	
R-32 S2	-106.248714600000000	35.830948599999900	6637.63	Well Completion Rpt	None	Location info taken from Brass cap monument survey data from R-32 WCR.	None	None	None	None	931.8	934.9	Regional	Regional	Tpf	None	
R-64	-106.275407500000000	35.877197000000000	7121.74	Well Completion Rpt	None	brass cap location rounded to decimal places	1316.1	ft	7121.74	5 in	1285	1305.5	Regional	Regional Top	Tjfp	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12372	
R-5 S3	-106.228767199999000	35.873070499999900	6472.6	Completion Report	None	Location info taken from Brass cap monument survey data from R-5 WCR.	None	None	None	None	676.9	720.3	Regional	Regional	Tsf	None	
