LOC_LOCATI	LOC_SITE_I	LOC_LOCA_1	LOC_LOCA_2	LOC_LOCA_3	LOC_NORTHI	LOC_EASTIN	LOC_GROUND	LOC_ESTABL	LOC_ESTA_1	LOC_SURVEY	LOC_SURV_1	LOC_SURV_2	LOC_LOCA_4	LOC_BARCOD	LOC_LOCA_5	LOC_RECORD	LOC_LONGIT	LOC_LATITU	LOC_LATI_1	LOC_LATI_2	LOC_LATI_3	LOC_LONG_1	LOC_LONG_2	LOC_LONG_3	LOC_ORIGIN	LOC_ORIG_1	LOC_ORIG_2	LOC_RECO_1	LOC_RIVER_	LOC_GRID_N	LOC_GRID_S	LOC_LOCA_6	LOC_SUBSIT	LOC_PROPER	LOC_LOCA_7	LOC_INSERT	LOC_INSE_1	LOC_LAST_M	LOC_LAST_1	LOC_INACTI	LOC_DIRECT	LOC_INAC_1	LOC_LOCA_8	LOC_LANL_L	LOC_LOCA_9	LOC_ULI	LOC_LOCA10	LOC_EXCAVA	LOC_LOCA11	LOC_REGULA	LOC_DOWNST	LOC_UPSTRE	LOC_E_DATA	LOC_LOCA12	LOC_LOCA13	LOC_WATER_	LOC_SURV_3	LOC_IEc_Me	PZ_LOCATIO	PZ_WELL_ID	PZ_SITE_ID	PZ_PERFORA	PZ_PERFO_1	PZ_PERFO_2	PZ_AQUIFER	PZ_WELL_PE	PZ_WELL__1	PZ_HYDROST	PZ_REPORT_	PZ_INSERTE	PZ_INSERT_	PZ_LAST_MO	PZ_LAST__1	PZ_PORT_ID	PZ_GEOLOGI	PZ_CASING_	PZ_CHAMBER	PZ_CHAMB_1	WELL_WELL_	WELL_SITE_	WELL_WEL_1	WELL_WEL_2	WELL_WEL_3	WELL_TOP_O	WELL_DRILL	WELL_DRI_1	WELL_DRI_2	WELL_FIELD	WELL_WEL_4	WELL_WEL_5	WELL_WEL_6	WELL_PROJE	WELL_PHASE	WELL_TASK	WELL_WEL_7	WELL_WEL_8	WELL_MULTI	WELL_BUBBL	WELL_DEPTH	WELL_WEL_9	WELL_WEL10	WELL_WEL11	WELL_WEL12	WELL_LOGGI	WELL_INSER	WELL_INS_1	WELL_LAST_	WELL_LAS_1	WELL_DRI_3	WELL_WEL13	WELL_WEL14	WELL_SOURC	LWA_Commen	Mon_Area	Watershed
LA-10035	LANL	MON	NULL	NULL	1773099.800000000000000	1637980.899999990000000	6579.000	NULL	NULL	UNKNOWN	NULL	NULL	NULL	NULL	NULL	NULL	-106.258219999999000	35.873170000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2000-11-28 00:00:00	Administrator	2004-06-16 10:47:00	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates.	LA-10035	NULL	10023268	13537	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LA-10066	LANL	MON	NULL	NULL	1774260.399999990000000	1627212.300000000000000	6900.000	NULL	NULL	UNKNOWN	NULL	NULL	NULL	NULL	NULL	NULL	-106.294569999999000	35.876350000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2001-04-25 00:00:00	Administrator	2004-06-16 10:47:00	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Record created for data migration.  Needs field coordinates.	LA-10066	NULL	10023289	13554	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	General	Los Alamos
LA-10068	LANL	MON	NULL	NULL	1772730.000000000000000	1640752.000000000000000	6519.000	NULL	NULL	WQH	NULL	NULL	NULL	NULL	NULL	NULL	-106.248870000000000	35.872160000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2001-04-25 00:00:00	Administrator	2004-06-16 10:47:00	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN.	LA-10068	NULL	10023291	13556	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LA-10135	LANL	BH	NULL	NULL	1770854.000000000000000	1649524.500000000000000	6304.900	NULL	NULL	DATA MIGRATION	NULL	NULL	NULL	NULL	NULL	NULL	-106.219260000000000	35.866999999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2002-07-17 00:00:00	Administrator	2002-08-20 13:39:00	NULL	NULL	NULL	NULL	LA-10135	NULL	10023347	13611	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	General	Los Alamos
LA-5.19 Spring	0	NULL	NULL	NULL	1771875.700000000000000	1643975.750000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.237990000000000	35.869810000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LADP-3	0	NULL	NULL	NULL	1773469.100000000000000	1632989.000000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.275070000000000	35.874180000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LADP-3	LADP-3	LANL	316	325.000	1	Intermediate	214	NULL	Intermediate Perched	NULL	114816	2005-03-29 00:00:00	ZDuran	2017-02-09 06:35:00	NULL	Qbog	3	0.01	326	LADP-3	LANL	NULL	1993-12-17 00:00:00	326.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	930	N	NULL	ft	NULL	2	in	NULL	NULL	Administrator	2002-03-18 00:00:00	bbrady	2016-07-28 13:36:00	350	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-0.3	0	NULL	NULL	NULL	1774511.600000000000000	1624799.000000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.302719999999000	35.877040000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-0.3	LAO-0.3	LANL	5.9	10.900	1000001	Alluvial	215	NULL	NULL	NULL	114816	2005-04-25 00:00:00	114816	2005-04-25 00:00:00	NULL	NULL	3	NULL	NULL	LAO-0.3	LANL	NULL	1994-05-27 00:00:00	11.25	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	931	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	114816	2005-04-25 00:00:00	114816	2006-06-26 00:00:00	12	NULL	NULL	NULL	NULL	General	Los Alamos
LAO-0.6	0	NULL	NULL	NULL	1774332.899999990000000	1626748.100000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.296139999999000	35.876550000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-0.6	LAO-0.6	LANL	8	13.000	1000004	Alluvial	216	NULL	NULL	NULL	114816	2006-04-07 00:00:00	114816	2006-04-07 00:00:00	NULL	NULL	3	NULL	NULL	LAO-0.6	LANL	NULL	1994-05-06 00:00:00	13.35	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	932	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	114816	2006-04-07 00:00:00	114816	2006-06-26 00:00:00	17.5	NULL	NULL	NULL	NULL	General	Los Alamos
LAO-0.7	0	NULL	NULL	NULL	1774260.370000000000000	1627212.250000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.294569999999000	35.876350000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-0.7	LAO-0.7	LANL	15	20.000	1000004	Alluvial	217	Screen T/B estimated	NULL	NULL	114816	2006-04-07 00:00:00	114816	2006-04-07 00:00:00	NULL	NULL	3	NULL	NULL	LAO-0.7	LANL	NULL	1993-06-16 00:00:00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	803	N	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	NULL	NULL	NULL	NULL	NULL	General	Los Alamos
LAO-0.8	0	NULL	NULL	NULL	1774274.659999990000000	1627699.740000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.292930000000000	35.876390000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-0.8	LAO-0.8	LANL	7.5	12.500	1000004	Alluvial	218	NULL	NULL	NULL	114816	2006-04-07 00:00:00	114816	2006-04-07 00:00:00	NULL	NULL	3	NULL	NULL	LAO-0.8	LANL	NULL	1994-05-11 00:00:00	12.85	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	933	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	114816	2006-04-07 00:00:00	114816	2006-06-26 00:00:00	17.5	NULL	NULL	NULL	NULL	General	Los Alamos
LAO-0.91	0	NULL	NULL	NULL	1774207.000000000000000	1628654.300000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.289710000000000	35.876210000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-0.91	LAO-0.91	LANL	9.5	14.500	1000004	Alluvial	219	NULL	NULL	NULL	Z173727	2006-04-27 00:00:00	Z173727	2006-04-27 00:00:00	NULL	NULL	3	NULL	NULL	LAO-0.91	LANL	NULL	1994-05-12 00:00:00	14.85	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	934	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Z173727	2006-04-27 00:00:00	114816	2006-06-26 00:00:00	15.5	NULL	NULL	NULL	NULL	General	Los Alamos
LAO-1	0	NULL	NULL	NULL	1773956.370000000000000	1629395.000000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.287200000000000	35.875520000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-1	LAO-1	LANL	8	28.000	1000001	Alluvial	220	NULL	NULL	NULL	114816	2005-05-10 00:00:00	114816	2005-05-10 00:00:00	NULL	NULL	3	NULL	NULL	LAO-1	LANL	NULL	1966-02-01 00:00:00	28.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	804	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	32	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-1.1	0	NULL	NULL	NULL	1773681.100000000000000	1631081.399999990000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.281510000000000	35.874769999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-1.2	0	NULL	NULL	NULL	1773361.370000000000000	1632646.250000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.276230000000000	35.873890000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-1.2	LAO-1.2	LANL	8	18.000	1000004	Alluvial	221	NULL	NULL	NULL	114816	2006-04-07 00:00:00	114816	2006-04-07 00:00:00	NULL	NULL	3	NULL	NULL	LAO-1.2	LANL	NULL	1969-04-01 00:00:00	18.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	899	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	38	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-1.6g	0	NULL	NULL	NULL	1772557.629999990000000	1636083.419999990000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.264630000000000	35.871679999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-1.6g	LAO-1.6g	LANL	10.47	25.470	1000001	Alluvial	222	NULL	NULL	NULL	114816	2005-05-27 00:00:00	114816	2005-05-27 00:00:00	NULL	NULL	3	NULL	NULL	LAO-1.6g	LANL	NULL	1996-03-20 00:00:00	30.82	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	935	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	114816	2005-05-27 00:00:00	114816	2006-06-26 00:00:00	36	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-1.8	LANL	MON	NULL	NULL	1772661.370000000000000	1635446.250000000000000	6680.000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.266780000000000	35.871969999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2000-11-21 00:00:00	Administrator	2008-02-11 00:00:00	NULL	NULL	NULL	NULL	LAO-1.8	NULL	10601848	16932	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	LAO-1.8	LAO-1.8	LANL	8	18.000	1000004	Alluvial	223	NULL	NULL	NULL	114816	2006-04-07 00:00:00	114816	2006-04-07 00:00:00	NULL	NULL	3	NULL	NULL	LAO-1.8	LANL	NULL	1969-04-01 00:00:00	18.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	900	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	48	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-2	0	NULL	NULL	NULL	1773095.870000000000000	1637607.750000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.259480000000000	35.873159999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-2	LAO-2	LANL	7	32.000	1000001	Alluvial	224	NULL	NULL	NULL	114816	2005-05-10 00:00:00	114816	2005-05-10 00:00:00	NULL	NULL	3	NULL	NULL	LAO-2	LANL	NULL	1966-02-01 00:00:00	32.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	805	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	32	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-3	LANL	OBS	NULL	NULL	1773098.370000000000000	1638010.620000000000000	6607.600	NULL	NULL	Stoker	NULL	NULL	NULL	NULL	NULL	NULL	-106.258120000000000	35.873170000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2000-10-12 00:00:00	npatel	2012-06-23 05:38:00	2012-03-15 10:48:00	NULL	NULL	Elevation revised based on LIDAR surface location pick	LAO-3	NULL	10601850	16934	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	LAO-3	LAO-3	LANL	9	24.000	1000001	Alluvial	225	NULL	NULL	NULL	114816	2005-05-13 00:00:00	114816	2005-05-13 00:00:00	NULL	NULL	3	NULL	NULL	LAO-3	LANL	NULL	1966-02-01 00:00:00	24.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	806	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	32	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-3a	0	NULL	NULL	NULL	1773099.750000000000000	1637980.870000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.258219999999000	35.873170000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-3a	LAO-3a	LANL	4.7	14.700	1	Alluvial	226	NULL	Alluvial	NULL	114816	2005-04-28 00:00:00	ZDuran	2017-02-10 13:18:00	NULL	Qal	1	0.01	14.7	LAO-3a	LANL	NULL	1989-09-14 00:00:00	14.70	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	807	N	NULL	ft	NULL	2	in	NULL	NULL	Administrator	2002-03-18 00:00:00	kgreene	2016-05-16 13:32:00	18	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-4	LANL	MON	NULL	NULL	1772729.500000000000000	1640752.000000000000000	6548.000	NULL	NULL	Stoker	NULL	NULL	NULL	NULL	NULL	NULL	-106.248870000000000	35.872160000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2000-10-12 00:00:00	114816	2009-03-23 11:53:00	NULL	NULL	NULL	Elevation revised based on LIDAR surface location pick	LAO-4	NULL	10601852	16936	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	LAO-4	LAO-4	LANL	14	24.000	1000001	Alluvial	227	NULL	NULL	NULL	114816	2005-05-10 00:00:00	114816	2005-05-10 00:00:00	NULL	NULL	3	NULL	NULL	LAO-4	LANL	NULL	1966-02-01 00:00:00	24.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	808	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	31	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-4.5	LANL	MON	NULL	NULL	1772087.620000000000000	1643659.120000000000000	6479.800	NULL	NULL	Stoker	NULL	NULL	NULL	NULL	NULL	NULL	-106.239059999999000	35.870390000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Administrator	2000-10-12 00:00:00	114816	2009-03-23 11:53:00	2012-03-15 10:48:00	NULL	NULL	Elevation revised based on LIDAR surface location pick	LAO-4.5	NULL	10601853	16937	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	LAO-4.5	LAO-4.5	LANL	10	40.000	1000001	Alluvial	228	NULL	NULL	NULL	114816	2005-05-10 00:00:00	114816	2005-05-10 00:00:00	NULL	NULL	3	NULL	NULL	LAO-4.5	LANL	NULL	1969-04-01 00:00:00	40.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	809	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	62	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-4.5c	0	NULL	NULL	NULL	1772076.500000000000000	1643547.370000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.239430000000000	35.870359999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-4.5c	LAO-4.5c	LANL	13.3	23.300	1000001	Alluvial	229	NULL	NULL	NULL	114816	2005-05-10 00:00:00	114816	2005-05-10 00:00:00	NULL	NULL	3	NULL	NULL	LAO-4.5c	LANL	NULL	1989-11-01 00:00:00	23.30	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	810	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	25	NULL	NULL	NULL	NULL	TA-21	Los Alamos
LAO-5	0	NULL	NULL	NULL	1771424.120000000000000	1646202.250000000000000	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-106.230470000000000	35.868569999999900	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NMED	LAO-5	LAO-5	LANL	5	25.000	1000004	Alluvial	230	NULL	NULL	NULL	114816	2006-04-07 00:00:00	114816	2006-04-07 00:00:00	NULL	NULL	3	NULL	NULL	LAO-5	LANL	NULL	1966-02-01 00:00:00	25.00	NULL	NULL	NULL	NULL	NULL	NULL	A	NULL	NULL	NULL	NULL	NULL	811	N	NULL	ft	NULL	NULL	NULL	NULL	NULL	Administrator	2002-03-18 00:00:00	114816	2006-06-26 00:00:00	27	NULL	NULL	NULL	NULL	TA-21	Los Alamos
